Category, Sink ID, Process ID, Thread ID, Time (Ticks), Text
PROCESS_OUTPUT,STREAM_STDIO,42,100158,856753330521,"[SceShellCore] Libc Heap Status: free 43%, in-use 3491.1 KB, trend +26.5 KB/min, peak 3949.4 KB, when 523 [sec]
"
PROCESS_OUTPUT,STREAM_STDIO,44,100493,856791713878,"[SceShellUI] I/PSM.UI : OnFocusActiveSceneChanged [ContentAreaScene : ContentAreaScene] -> [SplashScreen : SplashScreenScene]
"
PROCESS_OUTPUT,STREAM_STDIO,44,100493,856791831829,"[SceShellUI] I/PSM.UI :      Scene [SplashScreen : SplashScreenScene] : Alive
"
PROCESS_OUTPUT,STREAM_STDIO,44,100493,856792898767,"SetDeviceIndexBehavior: mode=MergeAllConnectedDevice, param=null
"
PROCESS_OUTPUT,STREAM_STDIO,44,100493,856793057545,"[Theme/I] : ActiveUserChanged : From : [BLUE(userId = 107182a4)]
"
PROCESS_OUTPUT,STREAM_STDIO,44,100493,856793191982,"[Theme/I] : ActiveUserChanged : To   : [ANONYMOUS(userId = ffffffff)]
"
PROCESS_OUTPUT,STREAM_STDIO,44,100493,856796641186,"[Theme/I] : Apply [ANONYMOUS] : [Option:101000]: with not preloaded user
"
PROCESS_OUTPUT,STREAM_STDIO,42,100220,857143264728,"[SceLncService] spawnApp
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,857143485657,"[Syscore App] createApp NPXX51362
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,857143621448,"[Syscore App]  ExpandCpuSetMode : disable
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,857143911777,"[Syscore App] processSpawn(pid, 0x60000c0a, 0x10c0a100, appParam, processParam, 1, 1, 1, param, debug, 0)
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,857143976697,"[Syscore App] appParam: appType = 0, rootPath = /mnt/sandbox/DBUG00001_000, titleId = NPXX51362
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,857144030887,"[Syscore App] processParam: elfPath = /host/C:\Users\s21119698\Desktop\ResidentSleepers-ConsoleGameDev\ConsoleGame\PS4\Build\eb"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,857144096784,"oot.self, fullPath = /host/C:\Users\s21119698\Desktop\ResidentSleepers-ConsoleGameDev\ConsoleGame\PS4\Build\eboot.self
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,857154436987,"[Syscore App] new pid=0x3f[Syscore App] attributeExe= 0
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,857158066638,"[Syscore App] Ready to exec
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,857158139485,"[Syscore App] wait for NOTE_EXIT|NOTE_EXEC
"
PROCESS_OUTPUT,STREAM_STDIO,49,100827,857161915820,"[VCS]checkCpuUsage() [LNC->VCS] ShellUI is Bg. Reduce cpu usage.
"
PROCESS_OUTPUT,STREAM_STDIO,47,100747,858003563666,"[UIProcess] malloc stats freeSize:41265056 (98%) inuseSize:677984 peakSize:678496 [pid:0x2f]
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,858045517189,"[Syscore App] Add event : pid=0x3f
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,858045982548,"[AppMgr Trace]: New Process, pid=0x3f, created.
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,858046211580,"[AppMgr Trace]: New App, appId=0x60000c0a, created
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,858046336257,"[Syscore App]  ExpandCpuSetMode : disable
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,858059765455,"[PS]Error: W:\Build\J02628840\vsh\shell\shell_core\process_starter\process_mount.cpp at 1218
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,858059897656,"sceRifManagerPlayFirstTrialSwitchTimerState return 809c0201 [ent=ED1633-NPXX51362_00-0000000000000000, user=107182a4 pft=1]
"
PROCESS_OUTPUT,STREAM_STDIO,39,100150,858076456406,"[Syscore App]TRACE : W:\Build\J02628837\sys\internal\syscore\app\app_syscore_event.cpp 1013 setResult()
"
PROCESS_OUTPUT,STREAM_STDIO,44,100493,858214451179,"D/88391:
"
PROCESS_OUTPUT,STREAM_STDIO,44,100493,858231326066,"D/88391:NPXX51362
"
PROCESS_OUTPUT,STREAM_STDIO,44,100493,858304850821,"D/99301:SystemSoftware:
Application Started.
PlayStation(R)Store Delivered Content service may not be set up in DevNet.
See ""Pr"
PROCESS_OUTPUT,STREAM_STDIO,44,100493,858305104469,"ogramming Startup Guide"" for details.
"
PROCESS_OUTPUT,STREAM_STDIO,49,100826,858499973598,"[VCS]checkFocusStatus() [LNC->VCS] Focus Change. appType = 5(BIG_APP). appId = 0x60000c0a.
"
PROCESS_OUTPUT,STREAM_STDIO,57,100821,858500477583,"[VDECPROXY@A01B05F3:00000000]
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,858508287467,"[PS]Error: W:\Build\J02628840\vsh\shell\shell_core\process_starter\process_mount.cpp at 1218
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,858508693385,"sceRifManagerPlayFirstTrialSwitchTimerState return 809c0201 [ent=ED1633-NPXX51362_00-0000000000000000, user=107182a4 pft=6]
"
PROCESS_OUTPUT,STREAM_STDIO,50,100830,858518025977,"[AppDb] openDb()[1026]: [File:Open] openDb() call dbutil::Connection::Open() path[/NaeAPIpOFH/priv/mms/app.db] flags[0x10000002"
PROCESS_OUTPUT,STREAM_STDIO,50,100830,858518147586,"] result[0x0, 0]
"
PROCESS_OUTPUT,STREAM_STDIO,50,100830,858518219149,"[AppDb] AppInfoDbInitializeDaemon()[54]: [File:Open] AppInfoDbInitializeDaemon() call DbAccessor::Init() path[/NaeAPIpOFH/priv/"
PROCESS_OUTPUT,STREAM_STDIO,50,100830,858518279241,"mms/app.db] result[0x0, 0].
"
PROCESS_OUTPUT,STREAM_STDIO,50,100830,858525108757,"[AppDb] AppInfoDbTerminateDaemon()[67]: [File:Close] AppInfoDbTerminateDaemon() call DbAccessor::Terminate().
"
PROCESS_OUTPUT,STREAM_STDIO,50,100830,858526254831,"[AppDb] Terminate()[764]: [File:Close] DbAccessor::Terminate() call dbutil::Connection::Close().
"
PROCESS_OUTPUT,STREAM_STDIO,42,100200,858541398086,"[SL] AppFocusChanged [NPXS20001] -> [NPXX51362]
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,859060722939,"**** NEO Mode ****
"
PROCESS_OUTPUT,STREAM_STDERR,63,100936,859061003330,"GnmDriver_padebug enabled
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,859291923527,"GPU DEBUGGER - PRX Initialized
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,859417246219,"Successfully registered RTTV interface v9
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,859459761118,"********************************************************************************
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,859459907653,"RAZOR GPU: Capture module: Firmware build (10508011.00)
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,859459959861,"********************************************************************************
"
PROCESS_OUTPUT,STREAM_STDERR,63,100936,859460038823,"[RazorGpu2] GnmDriver interface v2.5 successfully retrieved
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,859464076850,"Successfully registered Razor capture interface v7
"
PROCESS_OUTPUT,STREAM_STDERR,63,100936,859464197032,"Razor GPU enabled
"
PROCESS_OUTPUT,STREAM_STDERR,63,100936,859594097578,"[GNM Validate] module start
"
PROCESS_OUTPUT,STREAM_STDERR,63,100936,859594248683,"*************************************************************************
"
PROCESS_OUTPUT,STREAM_STDERR,63,100936,859594354445,"** Initialized Gnm Validation Module
"
PROCESS_OUTPUT,STREAM_STDERR,63,100936,859594433082,"** Build Version: 10508011.0.0
"
PROCESS_OUTPUT,STREAM_STDERR,63,100936,859594490450,"** Operation Mode: Neo
"
PROCESS_OUTPUT,STREAM_STDERR,63,100936,859594546421,"** Build Type: Release
"
PROCESS_OUTPUT,STREAM_STDERR,63,100936,859594652673,"** Loaded From Firmware
"
PROCESS_OUTPUT,STREAM_STDERR,63,100936,859594710200,"*************************************************************************
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,860002092812,"Total Mem (MB) : 5802 (Libc : 0, Flexible : 428, Direct 5374 (Onion Heap 256))
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,860006914796,"FIOS2: built with SDK version 0x10508001
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,860118040121,"Argument Count = 1Arg 0 = 
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,860118156814,"********** LAUNCHER CONTROL ************************************
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,860118218909,"	File System Root = NONE SPECIFIED
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,860118282513,"	Launcher Path = NONE SPECIFIED
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,860118334951,"	Launcher Arguments NONE SPECIFIED
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,860118401258,"**********/LAUNCHER CONTROL ************************************
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,860118453892,"Initial available direct memory : 5376MB
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,860699551946,"[UnityMemory] Configuration Parameters - Can be set up in boot.config
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,860699676246,"    ""memorysetup-temp-allocator-size-gfx=262144""
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,860699732950,"    ""memorysetup-temp-allocator-size-audio-worker=65536""
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,860699815529,"    ""memorysetup-temp-allocator-size-nav-mesh-worker=65536""
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,860699972753,"    ""memorysetup-temp-allocator-size-preload-manager=262144""
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,860700029352,"    ""memorysetup-temp-allocator-size-job-worker=262144""
"
